ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
1,Generic Brand Wool Mock-Neck Cardigan,Clothing,Wool Mock-Neck Cardigan designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,29.88,merino wool,4,6,14.7
2,Generic Brand Barrel-Leg Pants,Clothing,Barrel-Leg Pants designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,156.96,merino wool,5,0,29.0
3,Generic Brand Boat-Neck Ultralight Top,Clothing,Boat-Neck Ultralight Top designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,30.81,organic cotton,3,6,25.7
4,Generic Brand Knit Polo Sweater,Clothing,Knit Polo Sweater designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,134.44,organic cotton,5,24,22.4
5,Generic Brand Minimalist Mini Dress,Clothing,Minimalist Mini Dress designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,139.91,recycled nylon,3,6,33.2
6,Generic Brand A-Line Satin Skirt,Clothing,A-Line Satin Skirt designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,79.18,vegan leather,3,12,10.0
7,Generic Brand Structured Blazer,Clothing,Structured Blazer designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,43.86,polyester,4,24,16.3
8,Generic Brand High-Rise Trousers,Clothing,High-Rise Trousers designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,167.3,organic cotton,5,0,44.0
9,Generic Brand Cashmere Crewneck,Clothing,Cashmere Crewneck designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,40.37,polyester,4,24,40.5
10,Generic Brand Modal Long-Sleeve Tee,Clothing,Modal Long-Sleeve Tee designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,137.58,vegan leather,5,0,7.8
11,Generic Brand Stretch Pencil Skirt,Clothing,Stretch Pencil Skirt designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,175.75,modal blend,3,6,39.8
12,Generic Brand Silk Camisole,Clothing,Silk Camisole designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,79.2,polyester,5,12,12.3
13,Generic Brand Tailored Shirt,Clothing,Tailored Shirt designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,65.85,vegan leather,4,0,29.8
14,Generic Brand Wide-Leg Slacks,Clothing,Wide-Leg Slacks designed for everyday wear. Fabric: cashmere blend. Tailored fit with timeless styling.,129.16,cashmere blend,3,6,24.0
15,Generic Brand Ribbed Turtleneck,Clothing,Ribbed Turtleneck designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,217.96,linen,5,24,14.6
16,Generic Brand Denim Midi Skirt,Clothing,Denim Midi Skirt designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,189.36,vegan leather,3,6,38.1
17,Generic Brand Pleated Midi Skirt,Clothing,Pleated Midi Skirt designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,103.23,vegan leather,3,6,41.6
18,Generic Brand Wrap Dress,Clothing,Wrap Dress designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,66.46,vegan leather,4,18,40.5
19,Generic Brand Linen Button-Down,Clothing,Linen Button-Down designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,52.86,recycled nylon,3,6,35.1
